tax	barcode07	barcode08	barcode09	barcode10	barcode11	barcode12	unclassified	total
Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Kingella;Kingella sp. oral taxon 012	15.0	0.0	8.0	0.0	0.0	0.0	1.0	24.0
Bacteria;Fusobacteriati;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Leptotrichia;Leptotrichia shahii	0.0	1.0	0.0	0.0	12.0	10.0	1.0	24.0
Bacteria;Bacillati;Bacillota;Clostridia;Peptostreptococcales;Anaerovoracaceae;Mogibacterium;Mogibacterium neglectum	17.0	0.0	0.0	1.0	0.0	5.0	0.0	23.0
Bacteria;Fusobacteriati;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Leptotrichia;Leptotrichia sp. oral taxon 847	0.0	19.0	0.0	0.0	1.0	1.0	2.0	23.0
Bacteria;Bacteria_none;Candidatus Saccharibacteria;Candidatus Saccharibacteria_Incertae_sedis;Candidatus Saccharibacteria_Incertae_sedis;Candidatus Saccharibacteria_Incertae_sedis;Candidatus Saccharibacteria_Incertae_sedis;TM7 phylum sp. oral taxon 356	0.0	7.0	0.0	1.0	0.0	14.0	0.0	22.0
Bacteria;Pseudomonadati;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Tannerella;Tannerella sp. oral taxon 808	0.0	7.0	0.0	0.0	1.0	14.0	0.0	22.0
Bacteria;Pseudomonadati;Spirochaetota;Spirochaetia;Spirochaetales;Treponemataceae;Treponema;Treponema socranskii	0.0	13.0	0.0	0.0	4.0	2.0	1.0	20.0
Bacteria;Pseudomonadati;Spirochaetota;Spirochaetia;Spirochaetales;Treponemataceae;Treponema;Treponema vincentii	0.0	12.0	1.0	0.0	1.0	6.0	0.0	20.0
Bacteria;Bacteria_none;Candidatus Saccharibacteria;Candidatus Saccharibacteria_Incertae_sedis;Candidatus Saccharibacteria_Incertae_sedis;Candidatus Saccharibacteria_Incertae_sedis;Candidatus Saccharibacteria_Incertae_sedis;TM7 phylum sp. oral taxon 348	0.0	18.0	0.0	0.0	0.0	2.0	0.0	20.0
Bacteria;Bacillati;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Actinomyces;Actinomyces massiliensis	16.0	1.0	0.0	1.0	0.0	0.0	0.0	18.0
Bacteria;Bacillati;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Actinomyces;Actinomyces timonensis	15.0	1.0	1.0	0.0	0.0	0.0	1.0	18.0
Bacteria;Bacillati;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Actinomyces;Actinomyces graevenitzii	0.0	0.0	16.0	0.0	0.0	2.0	0.0	18.0
Bacteria;Pseudomonadati;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella sp. oral taxon 309	0.0	0.0	17.0	0.0	0.0	0.0	0.0	17.0
Bacteria;Bacillati;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Anaeroglobus;Anaeroglobus geminatus	0.0	0.0	0.0	0.0	3.0	14.0	0.0	17.0
Bacteria;Bacillati;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Actinomyces;Actinomyces dentalis	0.0	13.0	0.0	0.0	2.0	1.0	0.0	16.0
Bacteria;Thermotogati;Synergistota;Synergistia;Synergistales;Aminobacteriaceae;Fretibacterium;Fretibacterium fastidiosum	0.0	7.0	0.0	0.0	0.0	8.0	0.0	15.0
Bacteria;Bacillati;Actinomycetota;Coriobacteriia;Coriobacteriales;Atopobiaceae;Atopobium;Atopobium sp. oral taxon 416	0.0	0.0	0.0	0.0	1.0	14.0	0.0	15.0
Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus sp. oral taxon 061	0.0	0.0	15.0	0.0	0.0	0.0	0.0	15.0
Bacteria;Fusobacteriati;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;Fusobacterium sp. oral taxon 203	0.0	10.0	1.0	1.0	1.0	1.0	0.0	14.0
Bacteria;Fusobacteriati;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Leptotrichia;Leptotrichia hofstadii	0.0	12.0	0.0	0.0	0.0	1.0	0.0	13.0
Bacteria;Pseudomonadati;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Hoylesella;Hoylesella oralis	1.0	2.0	0.0	0.0	3.0	7.0	0.0	13.0
Bacteria;Bacillati;Bacillota;Clostridia;Eubacteriales;Peptococcaceae;Peptococcus;Peptococcus sp. oral taxon 167	1.0	2.0	9.0	1.0	0.0	0.0	0.0	13.0
Bacteria;Bacillati;Bacillota;Negativicutes;Selenomonadales;Selenomonadaceae;Selenomonas;Unclassified_Selenomonas	0.0	10.0	0.0	0.0	0.0	2.0	0.0	12.0
Bacteria;Fusobacteriati;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Leptotrichia;Leptotrichia sp. oral taxon 223	7.0	3.0	0.0	0.0	1.0	1.0	0.0	12.0
Bacteria;Bacteria_none;Candidatus Saccharibacteria;Candidatus Saccharibacteria_Incertae_sedis;Candidatus Saccharibacteria_Incertae_sedis;Candidatus Saccharibacteria_Incertae_sedis;Candidatus Saccharibacteria_Incertae_sedis;TM7 phylum sp. oral taxon 347	0.0	11.0	0.0	0.0	0.0	0.0	0.0	11.0
Bacteria;Bacillati;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Actinomyces;Actinomyces sp. oral taxon 171	4.0	0.0	0.0	0.0	1.0	6.0	0.0	11.0
Bacteria;Pseudomonadati;Spirochaetota;Spirochaetia;Spirochaetales;Treponemataceae;Treponema;Treponema maltophilum	0.0	9.0	0.0	1.0	0.0	0.0	0.0	10.0
Bacteria;Bacillati;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Dialister;Dialister pneumosintes	0.0	0.0	10.0	0.0	0.0	0.0	0.0	10.0
Bacteria;Bacillati;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Catonella;Catonella sp. oral taxon 451	0.0	0.0	0.0	0.0	6.0	4.0	0.0	10.0
Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Aggregatibacter;Aggregatibacter sp. oral taxon 458	0.0	2.0	0.0	3.0	0.0	3.0	1.0	9.0
Bacteria;Bacillati;Bacillota;Negativicutes;Selenomonadales;Selenomonadaceae;Selenomonas;Selenomonas sp. oral taxon 146	0.0	8.0	0.0	0.0	0.0	0.0	1.0	9.0
Bacteria;Bacteria_none;Candidatus Saccharibacteria;Candidatus Saccharibacteria_Incertae_sedis;Candidatus Saccharibacteria_Incertae_sedis;Candidatus Saccharibacteria_Incertae_sedis;Candidatus Saccharibacteria_Incertae_sedis;TM7 phylum sp. oral taxon 351	0.0	0.0	6.0	3.0	0.0	0.0	0.0	9.0
Bacteria;Bacillati;Bacillota;Tissierellia;Tissierellales;Peptoniphilaceae;Peptoniphilus;Peptoniphilus lacrimalis	2.0	0.0	0.0	1.0	2.0	3.0	0.0	8.0
Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;Staphylococcus epidermidis	2.0	0.0	3.0	0.0	2.0	0.0	1.0	8.0
Bacteria;Bacillati;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Actinomyces;Actinomyces sp. oral taxon 170	7.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0
Bacteria;Bacillati;Bacillota;Tissierellia;Tissierellales;Peptoniphilaceae;Finegoldia;Finegoldia magna	5.0	2.0	0.0	0.0	0.0	0.0	0.0	7.0
Bacteria;Pseudomonadati;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Segatella;Segatella buccae	0.0	0.0	0.0	0.0	4.0	3.0	0.0	7.0
Bacteria;Bacillati;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Actinomyces;Actinomyces sp. oral taxon 414	4.0	1.0	0.0	0.0	1.0	0.0	0.0	6.0
Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;Staphylococcus aureus	2.0	0.0	4.0	0.0	0.0	0.0	0.0	6.0
Bacteria;Pseudomonadati;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Hallella;Hallella multisaccharivorax	0.0	0.0	0.0	0.0	0.0	5.0	0.0	5.0
Bacteria;Bacillati;Bacillota;Negativicutes;Selenomonadales;Selenomonadaceae;Selenomonas;Selenomonas sp. oral taxon 134	0.0	0.0	0.0	0.0	0.0	5.0	0.0	5.0
Bacteria;Bacillati;Actinomycetota;Coriobacteriia;Coriobacteriales;Atopobiaceae;Lancefieldella;Lancefieldella rimae	0.0	0.0	0.0	0.0	3.0	2.0	0.0	5.0
Bacteria;Fusobacteriati;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Leptotrichia;Leptotrichia wadei	5.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0
Bacteria;Bacteria_none;Candidatus Saccharibacteria;Candidatus Saccharibacteria_Incertae_sedis;Candidatus Saccharibacteria_Incertae_sedis;Candidatus Saccharibacteria_Incertae_sedis;Candidatus Saccharibacteria_Incertae_sedis;TM7 phylum sp. oral taxon 349	0.0	3.0	0.0	0.0	0.0	1.0	0.0	4.0
Bacteria;Pseudomonadati;Campylobacterota;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae;Campylobacter;Campylobacter curvus	0.0	1.0	1.0	2.0	0.0	0.0	0.0	4.0
Bacteria;Pseudomonadati;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas;Porphyromonas endodontalis	0.0	0.0	4.0	0.0	0.0	0.0	0.0	4.0
Bacteria;Bacteria_none;Candidatus Saccharibacteria;Candidatus Saccharibacteria_Incertae_sedis;Candidatus Saccharibacteria_Incertae_sedis;Candidatus Saccharibacteria_Incertae_sedis;Candidatus Saccharibacteria_Incertae_sedis;TM7 bacterium human oral taxon HOT-869	0.0	4.0	0.0	0.0	0.0	0.0	0.0	4.0
Bacteria;Pseudomonadati;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Hoylesella;Hoylesella marshii	0.0	0.0	0.0	0.0	0.0	4.0	0.0	4.0
Bacteria;Pseudomonadati;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas;Porphyromonas sp. oral taxon 284	0.0	0.0	0.0	0.0	0.0	3.0	1.0	4.0
Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria;Neisseria sp. oral taxon 499	4.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0
Bacteria;Bacillati;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Actinomyces;Actinomyces israelii	0.0	3.0	0.0	0.0	0.0	1.0	0.0	4.0
Bacteria;Pseudomonadati;Spirochaetota;Spirochaetia;Spirochaetales;Treponemataceae;Treponema;Treponema parvum	0.0	2.0	0.0	0.0	0.0	1.0	0.0	3.0
Bacteria;Thermotogati;Synergistota;Synergistia;Synergistales;Aminobacteriaceae;Fretibacterium;Unclassified_Fretibacterium	0.0	2.0	0.0	0.0	0.0	1.0	0.0	3.0
Bacteria;Pseudomonadati;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella sp. oral taxon 315	0.0	0.0	3.0	0.0	0.0	0.0	0.0	3.0
Bacteria;Bacillati;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Mobiluncus;Mobiluncus mulieris	0.0	0.0	3.0	0.0	0.0	0.0	0.0	3.0
Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Aggregatibacter;Aggregatibacter aphrophilus	0.0	0.0	3.0	0.0	0.0	0.0	0.0	3.0
Bacteria;Bacillati;Actinomycetota;Actinomycetes;Propionibacteriales;Propionibacteriaceae;Cutibacterium;Cutibacterium acnes	1.0	0.0	0.0	0.0	1.0	1.0	0.0	3.0
Bacteria;Bacillati;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Actinomyces;Actinomyces sp. oral taxon 897	0.0	2.0	0.0	0.0	1.0	0.0	0.0	3.0
Bacteria;Bacillati;Bacillota;Clostridia;Peptostreptococcales;Anaerovoracaceae;Mogibacterium;Mogibacterium vescum	0.0	0.0	3.0	0.0	0.0	0.0	0.0	3.0
Bacteria;Bacillati;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Veillonella;Veillonella denticariosi	2.0	0.0	1.0	0.0	0.0	0.0	0.0	3.0
Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;Staphylococcus capitis	2.0	0.0	0.0	0.0	0.0	1.0	0.0	3.0
Bacteria;Bacillati;Bacillota;Clostridia;Eubacteriales;Eubacteriaceae;Pseudoramibacter;Pseudoramibacter alactolyticus	0.0	0.0	0.0	0.0	0.0	3.0	0.0	3.0
Bacteria;Pseudomonadati;Spirochaetota;Spirochaetia;Spirochaetales;Treponemataceae;Treponema;Treponema sp. oral taxon 231	0.0	1.0	0.0	0.0	1.0	1.0	0.0	3.0
Bacteria;Pseudomonadati;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella sp. oral taxon 301	0.0	0.0	0.0	0.0	1.0	2.0	0.0	3.0
Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus sp. oral taxon 423	0.0	0.0	2.0	0.0	0.0	0.0	1.0	3.0
Bacteria;Bacillati;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Actinomyces;Actinomyces johnsonii	1.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0
Bacteria;Bacillati;Actinomycetota;Coriobacteriia;Coriobacteriales;Atopobiaceae;Olsenella;Olsenella uli	0.0	0.0	0.0	0.0	0.0	2.0	0.0	2.0
Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Comamonas;Comamonas testosteroni	0.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0
Bacteria;Pseudomonadati;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Hoylesella;Hoylesella enoeca	0.0	0.0	0.0	0.0	0.0	2.0	0.0	2.0
Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;Lactobacillus johnsonii	0.0	0.0	0.0	0.0	1.0	1.0	0.0	2.0
Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;Staphylococcus pettenkoferi	2.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0
Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria;Neisseria polysaccharea	0.0	0.0	1.0	1.0	0.0	0.0	0.0	2.0
Bacteria;Bacillati;Bacillota;Tissierellia;Tissierellales;Peptoniphilaceae;Peptoniphilus;Peptoniphilus harei	2.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0
Bacteria;Bacillati;Bacillota;Clostridia;Peptostreptococcales;Anaerovoracaceae;Mogibacterium;Mogibacterium timidum	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0
Bacteria;Bacillati;Bacillota;Negativicutes;Selenomonadales;Selenomonadaceae;Centipeda;Centipeda periodontii	0.0	0.0	0.0	0.0	1.0	1.0	0.0	2.0
Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Ottowia;Ottowia sp. oral taxon 894	0.0	0.0	2.0	0.0	0.0	0.0	0.0	2.0
Bacteria;Bacillati;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Actinomyces;Actinomyces sp. oral taxon 178	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0
Bacteria;Fusobacteriati;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;Unclassified_Fusobacterium	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
Bacteria;Bacillati;Bacillota;Negativicutes;Selenomonadales;Selenomonadaceae;Mitsuokella;Mitsuokella sp. oral taxon 521	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0
Bacteria;Bacillati;Bacillota;Negativicutes;Selenomonadales;Selenomonadaceae;Selenomonas;Selenomonas sp. oral taxon 892	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0
Bacteria;Bacteria_none;Candidatus Gracilibacteria;Candidatus Gracilibacteria_Incertae_sedis;Candidatus Gracilibacteria_Incertae_sedis;Candidatus Gracilibacteria_Incertae_sedis;Candidatus Gracilibacteria_Incertae_sedis;Gracilibacteria bacterium oral taxon 873	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0
Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria;Neisseria sp. oral taxon 020	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria;Neisseria cinerea	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0
Bacteria;Bacillati;Bacillota;Tissierellia;Tissierellales;Peptoniphilaceae;Anaerococcus;Anaerococcus lactolyticus	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Moraxellales;Moraxellaceae;Moraxella;Moraxella nonliquefaciens	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
Bacteria;Bacillati;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Schaalia;Schaalia georgiae	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
Bacteria;Bacillati;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium;Corynebacterium tuberculostearicum	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
Bacteria;Bacillati;Bacillota;Clostridia;Peptostreptococcales;Anaerovoracaceae;Mogibacterium;Mogibacterium pumilum	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0
Bacteria;Bacillati;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Faecalibacterium;Faecalibacterium prausnitzii	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
Bacteria;Bacillati;Actinomycetota;Actinomycetes;Propionibacteriales;Propionibacteriaceae;Propionibacterium;Propionibacterium acidifaciens	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0
Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;Staphylococcus warneri	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0
Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lacticaseibacillus;Lacticaseibacillus rhamnosus	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0
